T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.6200,2.25541343e-01,2.17583291e+00,2.17583291e+00,3.60352561e-01,3.47637801e+00,3.47637801e+00,1.38029524e-01,1.33159259e+00,1.33159259e+00,2.85086654e-01,2.27789076e-01,3.63943816e-01,2.87927813e-01
0.6300,2.19312628e-01,2.18489491e+00,2.18489491e+00,3.82541597e-01,3.81105820e+00,3.81105820e+00,1.52233004e-01,1.51661634e+00,1.51661634e+00,2.89648413e-01,2.21533895e-01,3.86416099e-01,2.92582063e-01
0.6400,2.13075862e-01,2.19103767e+00,2.19103767e+00,4.00941160e-01,4.12283764e+00,4.12283764e+00,1.60024017e-01,1.64551087e+00,1.64551087e+00,2.92285619e-01,2.15268570e-01,4.05067140e-01,2.95293454e-01
0.6500,2.06673780e-01,2.19248977e+00,2.19248977e+00,4.03746838e-01,4.28313069e+00,4.28313069e+00,1.59780875e-01,1.69502844e+00,1.69502844e+00,2.88866552e-01,2.08834185e-01,4.07967288e-01,2.91886135e-01
0.6600,2.00976826e-01,2.19851372e+00,2.19851372e+00,3.88521882e-01,4.25009543e+00,4.25009543e+00,1.52452438e-01,1.66769863e+00,1.66769863e+00,2.79434956e-01,2.03110343e-01,3.92646328e-01,2.82401364e-01
0.6700,1.97041681e-01,2.22163596e+00,2.22163596e+00,3.60668252e-01,4.06651807e+00,4.06651807e+00,1.39161361e-01,1.56903799e+00,1.56903799e+00,2.66583343e-01,1.99165459e-01,3.64555648e-01,2.69456662e-01
0.6800,1.95589795e-01,2.27195159e+00,2.27195159e+00,3.23904617e-01,3.76244379e+00,3.76244379e+00,1.22653144e-01,1.42472672e+00,1.42472672e+00,2.51699101e-01,1.97729732e-01,3.27448439e-01,2.54452927e-01
0.6900,1.96503031e-01,2.35056559e+00,2.35056559e+00,3.16197831e-01,3.78235255e+00,3.78235255e+00,1.15849251e-01,1.38578658e+00,1.38578658e+00,2.49266588e-01,1.98684927e-01,3.19708774e-01,2.52034352e-01
0.7000,2.02118923e-01,2.48873060e+00,2.48873060e+00,3.24029602e-01,3.98984110e+00,3.98984110e+00,1.23196305e-01,1.51694066e+00,1.51694066e+00,2.55915053e-01,2.04396068e-01,3.27680237e-01,2.58798284e-01
0.7100,2.14067340e-01,2.71213839e+00,2.71213839e+00,3.24432619e-01,4.11041761e+00,4.11041761e+00,1.29662444e-01,1.64276574e+00,1.64276574e+00,2.63534490e-01,2.16513947e-01,3.28140608e-01,2.66546466e-01
0.7200,2.30315015e-01,3.00124809e+00,3.00124809e+00,3.16991469e-01,4.13073392e+00,4.13073392e+00,1.33005011e-01,1.73319589e+00,1.73319589e+00,2.70199732e-01,2.32984824e-01,3.20666032e-01,2.73331884e-01
0.7300,2.47679079e-01,3.31833039e+00,3.31833039e+00,3.04616859e-01,4.08116577e+00,4.08116577e+00,1.32368587e-01,1.77343482e+00,1.77343482e+00,2.74676579e-01,2.50590518e-01,3.08197594e-01,2.77905370e-01
0.7400,2.61554663e-01,3.60147517e+00,3.60147517e+00,2.90252169e-01,3.99662528e+00,3.99662528e+00,1.28216607e-01,1.76547771e+00,1.76547771e+00,2.75530050e-01,2.64671827e-01,2.93711344e-01,2.78813769e-01
0.7500,2.66031288e-01,3.76339420e+00,3.76339420e+00,2.74646930e-01,3.88527482e+00,3.88527482e+00,1.25626397e-01,1.77716560e+00,1.77716560e+00,2.70304785e-01,2.69245165e-01,2.77964892e-01,2.73570289e-01
0.7600,2.59697198e-01,3.77301800e+00,3.77301800e+00,2.67788327e-01,3.89057019e+00,3.89057019e+00,1.22111283e-01,1.77409718e+00,1.77409718e+00,2.63711733e-01,2.62876898e-01,2.71067094e-01,2.66940587e-01
0.7700,2.43828069e-01,3.63688484e+00,3.63688484e+00,2.69265087e-01,4.01629770e+00,4.01629770e+00,1.17644944e-01,1.75476563e+00,1.75476563e+00,2.56231119e-01,2.46853238e-01,2.72605853e-01,2.59410172e-01
0.7800,2.23370677e-01,3.41939876e+00,3.41939876e+00,2.73842003e-01,4.19202295e+00,4.19202295e+00,1.12533960e-01,1.72269023e+00,1.72269023e+00,2.47322206e-01,2.26178476e-01,2.77284233e-01,2.50431079e-01
0.7900,2.03497216e-01,3.19607552e+00,3.19607552e+00,2.77458050e-01,4.35768557e+00,4.35768557e+00,1.08757689e-01,1.70812061e+00,1.70812061e+00,2.37617215e-01,2.06088415e-01,2.80991018e-01,2.40642875e-01
0.8000,1.82734537e-01,2.94357425e+00,2.94357425e+00,2.78009814e-01,4.47831342e+00,4.47831342e+00,1.07588095e-01,1.73307986e+00,1.73307986e+00,2.25392978e-01,1.85091191e-01,2.81595195e-01,2.28299781e-01
0.8100,1.64556212e-01,2.71787026e+00,2.71787026e+00,2.74961901e-01,4.54137077e+00,4.54137077e+00,1.08431630e-01,1.79089625e+00,1.79089625e+00,2.12712691e-01,1.66705302e-01,2.78552880e-01,2.15490700e-01
0.8200,1.50429827e-01,2.54669004e+00,2.54669004e+00,2.68935233e-01,4.55291809e+00,4.55291809e+00,1.14307977e-01,1.93516799e+00,1.93516799e+00,2.01136473e-01,1.52419002e-01,2.72491439e-01,2.03796156e-01
0.8300,1.53905014e-01,2.66989034e+00,2.66989034e+00,2.76192218e-01,4.79128597e+00,4.79128597e+00,1.16454673e-01,2.02021492e+00,2.02021492e+00,2.06173149e-01,1.55965294e-01,2.79889520e-01,2.08933126e-01
0.8400,1.57329314e-01,2.79590713e+00,2.79590713e+00,2.86693970e-01,5.09485293e+00,5.09485293e+00,1.14829906e-01,2.04064802e+00,2.04064802e+00,2.12380238e-01,1.59461152e-01,2.90578722e-01,2.15258026e-01
0.8500,1.59811389e-01,2.90850731e+00,2.90850731e+00,2.87462788e-01,5.23171488e+00,5.23171488e+00,1.10563853e-01,2.01222064e+00,2.01222064e+00,2.14335782e-01,1.62002993e-01,2.91404964e-01,2.17275116e-01
0.8600,1.62106394e-01,3.02058947e+00,3.02058947e+00,2.79582142e-01,5.20955931e+00,5.20955931e+00,1.04377883e-01,1.94491240e+00,1.94491240e+00,2.12889767e-01,1.64355988e-01,2.83461978e-01,2.15844095e-01
0.8700,1.65544543e-01,3.15731648e+00,3.15731648e+00,2.66674201e-01,5.08609245e+00,5.08609245e+00,9.71371214e-02,1.85262908e+00,1.85262908e+00,2.10110587e-01,1.67868937e-01,2.70418546e-01,2.13060728e-01
0.8800,1.70555325e-01,3.32862956e+00,3.32862956e+00,2.53681187e-01,4.95094889e+00,4.95094889e+00,9.02273563e-02,1.76091509e+00,1.76091509e+00,2.08006436e-01,1.72977992e-01,2.57284622e-01,2.10961080e-01
0.8900,1.76276315e-01,3.51948340e+00,3.51948340e+00,2.42944992e-01,4.85057150e+00,4.85057150e+00,9.08001844e-02,1.81289098e+00,1.81289098e+00,2.06943103e-01,1.78809108e-01,2.46435702e-01,2.09916527e-01
0.9000,1.80847316e-01,3.69293915e+00,3.69293915e+00,2.48538798e-01,5.07521303e+00,5.07521303e+00,9.51418767e-02,1.94281656e+00,1.94281656e+00,2.12008430e-01,1.83475408e-01,2.52150589e-01,2.15089358e-01
0.9100,1.82805518e-01,3.81695711e+00,3.81695711e+00,2.51533637e-01,5.25199193e+00,5.25199193e+00,9.89999475e-02,2.06710693e+00,2.06710693e+00,2.14433526e-01,1.85492017e-01,2.55230161e-01,2.17584828e-01
0.9200,1.81331937e-01,3.87048412e+00,3.87048412e+00,2.50346921e-01,5.34359144e+00,5.34359144e+00,1.02074700e-01,2.17875854e+00,2.17875854e+00,2.13063118e-01,1.84026499e-01,2.54067036e-01,2.16229201e-01
0.9300,1.78118240e-01,3.88561513e+00,3.88561513e+00,2.44026074e-01,5.32338184e+00,5.32338184e+00,1.04006464e-01,2.26888101e+00,2.26888101e+00,2.08483800e-01,1.80794250e-01,2.47692269e-01,2.11616015e-01
0.9400,1.79814459e-01,4.00807622e+00,4.00807622e+00,2.32514479e-01,5.18276316e+00,5.18276316e+00,1.04971644e-01,2.33982490e+00,2.33982490e+00,2.04473630e-01,1.82545442e-01,2.36045859e-01,2.07579131e-01
0.9500,1.88266513e-01,4.28692729e+00,4.28692729e+00,2.16740484e-01,4.93529455e+00,4.93529455e+00,1.05510294e-01,2.40252477e+00,2.40252477e+00,2.02002413e-01,1.91156749e-01,2.20067848e-01,2.05103521e-01
0.9600,1.95910349e-01,4.55612742e+00,4.55612742e+00,1.99946712e-01,4.64999782e+00,4.64999782e+00,1.05878424e-01,2.46232826e+00,2.46232826e+00,1.97918241e-01,1.98950083e-01,2.03049074e-01,2.00989129e-01
0.9700,2.02886970e-01,4.81796720e+00,4.81796720e+00,1.92151475e-01,4.56303084e+00,4.56303084e+00,1.05774833e-01,2.51184035e+00,2.51184035e+00,1.97446273e-01,2.06068258e-01,1.95164429e-01,2.00542250e-01
0.9800,2.08701904e-01,5.05958604e+00,5.05958604e+00,1.81786908e-01,4.40708248e+00,4.40708248e+00,1.04963283e-01,2.54463784e+00,2.54463784e+00,1.94780065e-01,2.12008642e-01,1.84667197e-01,1.97866221e-01
0.9900,2.12564971e-01,5.25979396e+00,5.25979396e+00,1.70369480e-01,4.21569159e+00,4.21569159e+00,1.03503199e-01,2.56112519e+00,2.56112519e+00,1.90301297e-01,2.15967834e-01,1.73096853e-01,1.93347750e-01
1.0000,2.13912492e-01,5.40148312e+00,5.40148312e+00,1.64317964e-01,4.14917661e+00,4.14917661e+00,1.01579199e-01,2.56496629e+00,2.56496629e+00,1.87482439e-01,2.17372076e-01,1.66975461e-01,1.90514573e-01
1.0100,2.11393310e-01,5.44604351e+00,5.44604351e+00,1.61905413e-01,4.17110608e+00,4.17110608e+00,9.95213945e-02,2.56393093e+00,2.56393093e+00,1.85001949e-01,2.14846898e-01,1.64550504e-01,1.88024375e-01
1.0200,2.08274587e-01,5.47335984e+00,5.47335984e+00,1.61963298e-01,4.25632058e+00,4.25632058e+00,1.05030302e-01,2.76014778e+00,2.76014778e+00,1.83665019e-01,2.11711470e-01,1.64635966e-01,1.86695802e-01
1.0300,2.08155071e-01,5.57890656e+00,5.57890656e+00,1.65933555e-01,4.44729880e+00,4.44729880e+00,1.10454045e-01,2.96035447e+00,2.96035447e+00,1.85849162e-01,2.11624218e-01,1.68699032e-01,1.88946555e-01
1.0400,2.05460589e-01,5.61504352e+00,5.61504352e+00,1.68127878e-01,4.59477586e+00,4.59477586e+00,1.14901541e-01,3.14015042e+00,3.14015042e+00,1.85859229e-01,2.08918634e-01,1.70957588e-01,1.88987369e-01
1.0500,2.00937275e-01,5.59844370e+00,5.59844370e+00,1.68540605e-01,4.69581907e+00,4.69581907e+00,1.18867092e-01,3.31183312e+00,3.31183312e+00,1.84027416e-01,2.04352261e-01,1.71405000e-01,1.87155014e-01
1.0600,1.95145959e-01,5.54204186e+00,5.54204186e+00,1.67004247e-01,4.74283216e+00,4.74283216e+00,1.22835681e-01,3.48846829e+00,3.48846829e+00,1.80527571e-01,1.98494648e-01,1.69870027e-01,1.83625410e-01
1.0700,1.88442176e-01,5.45399188e+00,5.45399188e+00,1.63986178e-01,4.74617362e+00,4.74617362e+00,1.26929920e-01,3.67367203e+00,3.67367203e+00,1.75789398e-01,1.91706863e-01,1.66827175e-01,1.78834880e-01
1.0800,1.81162522e-01,5.34262897e+00,5.34262897e+00,1.59526978e-01,4.70457929e+00,4.70457929e+00,1.30657079e-01,3.85318269e+00,3.85318269e+00,1.70000911e-01,1.84330938e-01,1.62317001e-01,1.72974117e-01
1.0900,1.75768603e-01,5.28084934e+00,5.28084934e+00,1.53742198e-01,4.61908080e+00,4.61908080e+00,1.33355653e-01,4.00658079e+00,4.00658079e+00,1.64386895e-01,1.78871649e-01,1.56456386e-01,1.67289006e-01
1.1000,1.69786871e-01,5.19600190e+00,5.19600190e+00,1.51877481e-01,4.64791931e+00,4.64791931e+00,1.34420215e-01,4.11367315e+00,4.11367315e+00,1.60582696e-01,1.72812304e-01,1.54583786e-01,1.63444119e-01
