T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.3400,3.23406909e-01,9.34055890e-01,9.34055890e-01,2.78696776e-01,8.04925181e-01,8.04925181e-01,2.25191361e-01,6.50392156e-01,6.50392156e-01,3.00220690e-01,3.25166472e-01,2.80213084e-01,3.01854103e-01
0.3500,3.25318014e-01,9.95816776e-01,9.95816776e-01,3.02927704e-01,9.27278776e-01,9.27278776e-01,2.13062865e-01,6.52197439e-01,6.52197439e-01,3.13923301e-01,3.27140324e-01,3.04624592e-01,3.15681782e-01
0.3600,3.34365551e-01,1.08300704e+00,1.08300704e+00,3.26562848e-01,1.05773415e+00,1.05773415e+00,2.01208669e-01,6.51713085e-01,6.51713085e-01,3.30441169e-01,3.36292364e-01,3.28444697e-01,3.32345368e-01
0.3700,3.38925147e-01,1.15979576e+00,1.15979576e+00,3.45041785e-01,1.18072678e+00,1.18072678e+00,1.83402799e-01,6.27601081e-01,6.27601081e-01,3.41969791e-01,3.40932810e-01,3.47085680e-01,3.43995489e-01
0.3800,3.50795112e-01,1.26638144e+00,1.26638144e+00,3.70992803e-01,1.33929574e+00,1.33929574e+00,1.81559232e-01,6.55434564e-01,6.55434564e-01,3.60752633e-01,3.52929591e-01,3.73250179e-01,3.62947700e-01
0.3900,3.91948940e-01,1.49063757e+00,1.49063757e+00,3.87963663e-01,1.47548100e+00,1.47548100e+00,1.82367915e-01,6.93571123e-01,6.93571123e-01,3.89951210e-01,3.94396978e-01,3.90386810e-01,3.92386772e-01
0.4000,4.48944548e-01,1.79636919e+00,1.79636919e+00,3.92185572e-01,1.56925857e+00,1.56925857e+00,1.85840900e-01,7.43608243e-01,7.43608243e-01,4.19606452e-01,4.51820929e-01,3.94698299e-01,4.22294864e-01
0.4100,4.97113747e-01,2.09014285e+00,2.09014285e+00,4.12080033e-01,1.73261379e+00,1.73261379e+00,1.95818931e-01,8.23331764e-01,8.23331764e-01,4.52604296e-01,5.00378896e-01,4.14786662e-01,4.55577098e-01
0.4200,5.32158617e-01,2.34834414e+00,2.34834414e+00,4.54134994e-01,2.00403642e+00,2.00403642e+00,1.93949290e-01,8.55872035e-01,8.55872035e-01,4.91601313e-01,5.35739774e-01,4.57191091e-01,4.94909539e-01
0.4300,5.59337012e-01,2.58762967e+00,2.58762967e+00,4.90578669e-01,2.26953678e+00,2.26953678e+00,1.76694979e-01,8.17434143e-01,8.17434143e-01,5.23830896e-01,5.63191304e-01,4.93959159e-01,5.27440521e-01
0.4400,5.31456340e-01,2.57474486e+00,2.57474486e+00,5.18567786e-01,2.51230372e+00,2.51230372e+00,1.59044158e-01,7.70520733e-01,7.70520733e-01,5.24972511e-01,5.35204277e-01,5.22224832e-01,5.28674724e-01
0.4500,5.36560093e-01,2.71940733e+00,2.71940733e+00,5.16558176e-01,2.61803311e+00,2.61803311e+00,1.57230372e-01,7.96878917e-01,7.96878917e-01,5.26464152e-01,5.40430643e-01,5.20284438e-01,5.30261872e-01
0.4600,5.46785832e-01,2.89623240e+00,2.89623240e+00,5.08361553e-01,2.69270547e+00,2.69270547e+00,1.64937903e-01,8.73648278e-01,8.73648278e-01,5.27223761e-01,5.50818444e-01,5.12110781e-01,5.31112101e-01
