T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.5000,1.19329320e-01,7.47250603e-01,7.47250603e-01,1.04081756e-01,6.51769030e-01,6.51769030e-01,4.34083279e-02,2.71826734e-01,2.71826734e-01,1.11445077e-01,1.20286529e-01,1.04916656e-01,1.12339042e-01
0.5100,1.22717575e-01,7.99642557e-01,7.99642557e-01,1.09108095e-01,7.10961537e-01,7.10961537e-01,4.13606641e-02,2.69511087e-01,2.69511087e-01,1.15712924e-01,1.23721813e-01,1.10000962e-01,1.16659841e-01
0.5200,1.28172674e-01,8.68401578e-01,8.68401578e-01,1.10810966e-01,7.50771711e-01,7.50771711e-01,4.15086181e-02,2.81231158e-01,2.81231158e-01,1.19176079e-01,1.29242290e-01,1.11735697e-01,1.20170618e-01
0.5300,1.30388520e-01,9.17865972e-01,9.17865972e-01,1.08285580e-01,7.62273003e-01,7.62273003e-01,4.64287236e-02,3.26833570e-01,3.26833570e-01,1.18824225e-01,1.31497731e-01,1.09206762e-01,1.19835059e-01
0.5400,1.25525463e-01,9.17439090e-01,9.17439090e-01,1.03370919e-01,7.55516207e-01,7.55516207e-01,5.01405811e-02,3.66466914e-01,3.66466914e-01,1.13910853e-01,1.26613627e-01,1.04267028e-01,1.14898332e-01
0.5500,1.19369953e-01,9.05207234e-01,9.05207234e-01,1.01054922e-01,7.66320533e-01,7.66320533e-01,5.25670993e-02,3.98627270e-01,3.98627270e-01,1.09831331e-01,1.20424088e-01,1.01947320e-01,1.10801232e-01
0.5600,1.20891045e-01,9.50533737e-01,9.50533737e-01,1.01496750e-01,7.98041615e-01,7.98041615e-01,5.45959371e-02,4.29273153e-01,4.29273153e-01,1.10770249e-01,1.21978197e-01,1.02409493e-01,1.11766387e-01
0.5700,1.22865971e-01,1.00103307e+00,1.00103307e+00,1.01475518e-01,8.26757387e-01,8.26757387e-01,5.71206638e-02,4.65382506e-01,4.65382506e-01,1.11659697e-01,1.23990794e-01,1.02404514e-01,1.12681929e-01
0.5800,1.24230754e-01,1.04814644e+00,1.04814644e+00,1.00431805e-01,8.47352494e-01,8.47352494e-01,5.91476018e-02,4.99033824e-01,4.99033824e-01,1.11699234e-01,1.25388211e-01,1.01367528e-01,1.12739935e-01
0.5900,1.24110878e-01,1.08372850e+00,1.08372850e+00,9.75238006e-02,8.51571790e-01,8.51571790e-01,5.92982118e-02,5.17788315e-01,5.17788315e-01,1.10017110e-01,1.25287344e-01,9.84482436e-02,1.11059979e-01
