T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.3100,2.52408281e-01,1.20258058e+01,6.00745877e-01,2.79906885e-01,1.29859231e+01,6.65995851e-01,2.10727849e-01,1.06067862e+01,5.00154148e-01,2.65802212e-01,2.51569589e-01,2.78893804e-01,2.64879595e-01
0.3200,2.62219065e-01,1.28274178e+01,6.64925348e-01,2.71078060e-01,1.35353912e+01,6.87896359e-01,2.17350289e-01,1.23497915e+01,5.49310199e-01,2.66611769e-01,2.61314592e-01,2.70342162e-01,2.65790052e-01
0.3300,3.00069130e-01,1.48281765e+01,8.07415960e-01,3.07483357e-01,1.57458881e+01,8.28020497e-01,2.26120612e-01,1.30259027e+01,6.10622904e-01,3.03753623e-01,2.98373453e-01,3.05987677e-01,3.02156581e-01
0.3400,3.15290538e-01,1.61551911e+01,9.00896730e-01,3.38502103e-01,1.72781782e+01,9.67718998e-01,2.19347254e-01,1.22821986e+01,6.28140803e-01,3.26690236e-01,3.13623001e-01,3.36885379e-01,3.25046156e-01
0.3500,3.23699770e-01,1.78945212e+01,9.80552873e-01,3.84393493e-01,1.98256211e+01,1.16465629e+00,2.08289821e-01,1.18151725e+01,6.31368198e-01,3.52743654e-01,3.22125909e-01,3.82606566e-01,3.51066216e-01
0.3600,3.39654804e-01,1.72353933e+01,1.08856729e+00,4.20141389e-01,2.29356745e+01,1.34658185e+00,2.12920181e-01,1.25691517e+01,6.83002628e-01,3.77760561e-01,3.38018918e-01,4.18136889e-01,3.75949703e-01
0.3700,3.12284842e-01,1.70739372e+01,1.05782617e+00,4.41630678e-01,2.53033299e+01,1.49575943e+00,2.59409373e-01,1.53078008e+01,8.77887512e-01,3.71368505e-01,3.10957896e-01,4.39692472e-01,3.69764582e-01
0.3800,2.88300029e-01,1.62395445e+01,1.02984365e+00,4.46023972e-01,2.66630075e+01,1.59339101e+00,3.19839681e-01,1.92379279e+01,1.14267390e+00,3.58592699e-01,2.87008548e-01,4.44064339e-01,3.57001767e-01
0.3900,3.09203549e-01,1.64488969e+01,1.16431354e+00,4.02252836e-01,2.47776490e+01,1.51286550e+00,3.48338398e-01,2.22456010e+01,1.31092523e+00,3.52672659e-01,3.08057270e-01,4.00278103e-01,3.51153214e-01
0.4000,3.11907340e-01,1.66818745e+01,1.23664526e+00,3.51244655e-01,2.21430964e+01,1.38974436e+00,3.37124486e-01,2.27084952e+01,1.33444067e+00,3.30992124e-01,3.11039742e-01,3.49547070e-01,3.29731755e-01
0.4100,3.10431451e-01,1.67824669e+01,1.29271930e+00,3.31057627e-01,2.14557987e+01,1.37737008e+00,3.05980574e-01,2.06108230e+01,1.27300476e+00,3.20578695e-01,3.09476194e-01,3.29741539e-01,3.19448206e-01
0.4200,3.18005983e-01,1.82273798e+01,1.38997753e+00,3.24887681e-01,2.18178668e+01,1.41788995e+00,2.79828830e-01,1.91827006e+01,1.22180534e+00,3.21428416e-01,3.17102692e-01,3.23470495e-01,3.20270768e-01
0.4300,3.27786720e-01,1.80174560e+01,1.50163027e+00,3.02174225e-01,2.12045649e+01,1.38240155e+00,2.67352523e-01,1.93715459e+01,1.22313434e+00,3.14720031e-01,3.26826175e-01,3.00876336e-01,3.13582943e-01
0.4400,3.29442004e-01,2.01319162e+01,1.58038105e+00,3.01235147e-01,2.16226801e+01,1.44303330e+00,2.55646594e-01,1.93384338e+01,1.22457692e+00,3.15023032e-01,3.28508938e-01,2.99958885e-01,3.13909501e-01
0.4500,3.38251198e-01,2.17886253e+01,1.69769743e+00,2.92471403e-01,2.33511669e+01,1.46643592e+00,2.46052216e-01,1.84527418e+01,1.23171767e+00,3.14529494e-01,3.37385174e-01,2.91426334e-01,3.13564864e-01
0.4600,3.76945919e-01,2.36828151e+01,1.97050635e+00,2.76342616e-01,2.31672944e+01,1.44978418e+00,2.31131461e-01,1.62608040e+01,1.20974446e+00,3.22747922e-01,3.74759718e-01,2.75726445e-01,3.21451652e-01
0.4700,4.10745675e-01,2.74521428e+01,2.24143911e+00,2.88727484e-01,2.27476215e+01,1.58139448e+00,2.16039196e-01,1.68414348e+01,1.17946261e+00,3.44374165e-01,4.08340032e-01,2.88094675e-01,3.42987739e-01
0.4800,4.20956462e-01,2.98293313e+01,2.39780445e+00,2.93553376e-01,2.18690971e+01,1.67596557e+00,2.16494999e-01,1.65160253e+01,1.23237199e+00,3.51529786e-01,4.18814796e-01,2.92734121e-01,3.50144800e-01
0.4900,4.09597928e-01,3.07214843e+01,2.43200651e+00,2.83244651e-01,2.15400702e+01,1.68551411e+00,2.24794155e-01,1.73064601e+01,1.33397178e+00,3.40611835e-01,4.07627337e-01,2.82508137e-01,3.39349436e-01
0.5000,3.86215236e-01,3.03630686e+01,2.38854335e+00,3.10042927e-01,2.24907314e+01,1.91876144e+00,2.26253456e-01,1.85509200e+01,1.39829146e+00,3.46039452e-01,3.84488937e-01,3.08867138e-01,3.44609921e-01
0.5100,3.58532788e-01,2.93383091e+01,2.30651709e+00,3.28342432e-01,2.24642103e+01,2.11371371e+00,2.28312299e-01,2.00905787e+01,1.46732281e+00,3.43105709e-01,3.56867545e-01,3.27036738e-01,3.41626693e-01
0.5200,3.43590840e-01,2.96809335e+01,2.29854409e+00,3.31796390e-01,2.37477151e+01,2.21947494e+00,2.34538978e-01,2.13419301e+01,1.56551615e+00,3.37642119e-01,3.42087244e-01,3.30319557e-01,3.36151910e-01
0.5300,3.36522883e-01,2.93444868e+01,2.33924460e+00,3.36638925e-01,2.67282135e+01,2.33880940e+00,2.40218803e-01,2.31687606e+01,1.66657585e+00,3.36580899e-01,3.35131018e-01,3.35068669e-01,3.35099842e-01
0.5400,3.21873840e-01,2.79862284e+01,2.32377890e+00,3.45518794e-01,2.98878039e+01,2.49172051e+00,2.49767815e-01,2.46690594e+01,1.80334969e+00,3.33486823e-01,3.20699302e-01,3.43876531e-01,3.32085777e-01
0.5500,3.13634350e-01,2.55337927e+01,2.34986282e+00,3.67875961e-01,3.38973601e+01,2.75077234e+00,2.59244156e-01,2.54614269e+01,1.94093386e+00,3.39674164e-01,3.12613595e-01,3.65948524e-01,3.38231406e-01
0.5600,3.09811968e-01,2.46815387e+01,2.40210203e+00,4.04932818e-01,3.63395639e+01,3.14104001e+00,2.59046049e-01,2.54184112e+01,2.00968700e+00,3.54193497e-01,3.08252158e-01,4.03077116e-01,3.52490271e-01
0.5700,3.44908539e-01,2.94458691e+01,2.77169224e+00,4.23755567e-01,3.76576596e+01,3.40404137e+00,2.53838787e-01,2.49011221e+01,2.03955837e+00,3.82304739e-01,3.43309660e-01,4.21634216e-01,3.80461692e-01
0.5800,3.68577104e-01,3.33959604e+01,3.06754631e+00,4.25442124e-01,3.84893809e+01,3.53819087e+00,2.49416429e-01,2.43253852e+01,2.07552013e+00,3.95990185e-01,3.66966036e-01,4.23268549e-01,3.94113158e-01
