T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.4000,5.89292930e-02,2.35794748e-01,2.35794748e-01,6.40074737e-02,2.56114156e-01,2.56114156e-01,4.32866018e-02,1.73203390e-01,1.73203390e-01,6.14159196e-02,5.93068522e-02,6.44175687e-02,6.18094105e-02
0.4100,5.21142078e-02,2.19117132e-01,2.19117132e-01,6.65146025e-02,2.79664406e-01,2.79664406e-01,3.91239120e-02,1.64498700e-01,1.64498700e-01,5.88757659e-02,5.24565050e-02,6.69514845e-02,5.92624745e-02
0.4200,5.33580751e-02,2.35461983e-01,2.35461983e-01,6.86667505e-02,3.03017101e-01,3.03017101e-01,3.54978346e-02,1.56647152e-01,1.56647152e-01,6.05303695e-02,5.37171478e-02,6.91288428e-02,6.09377081e-02
0.4300,5.65486797e-02,2.61608008e-01,2.61608008e-01,6.95800374e-02,3.21894252e-01,3.21894252e-01,3.27438659e-02,1.51481123e-01,1.51481123e-01,6.27268622e-02,5.69383465e-02,7.00595009e-02,6.31591018e-02
0.4400,5.46589415e-02,2.64806002e-01,2.64806002e-01,6.87470207e-02,3.33058475e-01,3.33058475e-01,3.34173560e-02,1.61896960e-01,1.61896960e-01,6.12995871e-02,5.50444074e-02,6.92318386e-02,6.17318842e-02
0.4500,4.84373024e-02,2.45491152e-01,2.45491152e-01,7.10148828e-02,3.59919411e-01,3.59919411e-01,3.32151659e-02,1.68341937e-01,1.68341937e-01,5.86495469e-02,4.87867115e-02,7.15271583e-02,5.90726234e-02
0.4600,4.79773229e-02,2.54127794e-01,2.54127794e-01,6.61129509e-02,3.50189159e-01,3.50189159e-01,3.18113009e-02,1.68499100e-01,1.68499100e-01,5.63198223e-02,4.83311614e-02,6.66005419e-02,5.67351879e-02
0.4700,4.92387477e-02,2.72315801e-01,2.72315801e-01,6.48874620e-02,3.58861304e-01,3.58861304e-01,3.05726302e-02,1.69082494e-01,1.69082494e-01,5.65241309e-02,4.96098434e-02,6.53764967e-02,5.69501340e-02
0.4800,4.86551381e-02,2.80705524e-01,2.80705524e-01,6.32510803e-02,3.64913724e-01,3.64913724e-01,3.11934117e-02,1.79963788e-01,1.79963788e-01,5.54751300e-02,4.90296974e-02,6.37380028e-02,5.59021913e-02
0.4900,4.62117405e-02,2.77877842e-01,2.77877842e-01,6.31496936e-02,3.79728191e-01,3.79728191e-01,3.18580310e-02,1.91566922e-01,1.91566922e-01,5.40208965e-02,4.65749596e-02,6.36460432e-02,5.44454947e-02
0.5000,4.19151597e-02,2.62476384e-01,2.62476384e-01,6.26939728e-02,3.92595123e-01,3.92595123e-01,3.14951784e-02,1.97225553e-01,1.97225553e-01,5.12623437e-02,4.22513856e-02,6.31968776e-02,5.16735488e-02
0.5100,4.33383184e-02,2.82397722e-01,2.82397722e-01,6.05823055e-02,3.94761626e-01,3.94761626e-01,3.14226121e-02,2.04753539e-01,2.04753539e-01,5.12399770e-02,4.36929700e-02,6.10780702e-02,5.16592904e-02
0.5200,4.44711145e-02,3.01302804e-01,3.01302804e-01,6.14508953e-02,4.16345020e-01,4.16345020e-01,3.22039753e-02,2.18189900e-01,2.18189900e-01,5.22760921e-02,4.48422314e-02,6.19637105e-02,5.27123424e-02
0.5300,4.31824451e-02,3.03981493e-01,3.03981493e-01,6.43129224e-02,4.52728837e-01,4.52728837e-01,3.44151144e-02,2.42264138e-01,2.42264138e-01,5.26990440e-02,4.35497968e-02,6.48600305e-02,5.31473532e-02
0.5400,4.13234342e-02,3.02024250e-01,3.02024250e-01,7.02148116e-02,5.13185224e-01,5.13185224e-01,3.67922187e-02,2.68906553e-01,2.68906553e-01,5.38657326e-02,4.16816617e-02,7.08234947e-02,5.43326877e-02
0.5500,3.93466167e-02,2.98373595e-01,2.98373595e-01,7.66388168e-02,5.81168121e-01,5.81168121e-01,3.81355898e-02,2.89190126e-01,2.89190126e-01,5.49133695e-02,3.96940797e-02,7.73156006e-02,5.53982997e-02
0.5600,3.79646754e-02,2.98506020e-01,2.98506020e-01,8.16716589e-02,6.42162263e-01,6.42162263e-01,3.85155024e-02,3.02837025e-01,3.02837025e-01,5.56833729e-02,3.83060851e-02,8.24061180e-02,5.61841239e-02
0.5700,3.78803796e-02,3.08625020e-01,3.08625020e-01,8.23707832e-02,6.71104272e-01,6.71104272e-01,3.84229540e-02,3.13045567e-01,3.13045567e-01,5.58590775e-02,3.82271701e-02,8.31248781e-02,5.63704608e-02
0.5800,3.64715564e-02,3.07713917e-01,3.07713917e-01,8.11184176e-02,6.84403643e-01,6.84403643e-01,3.72858524e-02,3.14584209e-01,3.14584209e-01,5.43922323e-02,3.68113615e-02,8.18741972e-02,5.48990043e-02
0.5900,3.61322709e-02,3.15504753e-01,3.15504753e-01,8.08746451e-02,7.06192394e-01,7.06192394e-01,3.54792067e-02,3.09802237e-01,3.09802237e-01,5.40572343e-02,3.64747742e-02,8.16412681e-02,5.45696511e-02
0.6000,3.62302948e-02,3.27228238e-01,3.27228238e-01,8.19116619e-02,7.39817575e-01,7.39817575e-01,3.37390151e-02,3.04727260e-01,3.04727260e-01,5.44764505e-02,3.65796043e-02,8.27014021e-02,5.50016778e-02
0.6100,3.64580530e-02,3.40407673e-01,3.40407673e-01,8.17433513e-02,7.63235051e-01,7.63235051e-01,3.28641864e-02,3.06851855e-01,3.06851855e-01,5.45912396e-02,3.68154743e-02,8.25447328e-02,5.51264319e-02
0.6200,3.65126408e-02,3.52243205e-01,3.52243205e-01,7.89701050e-02,7.61837061e-01,7.61837061e-01,3.31844725e-02,3.20135841e-01,3.20135841e-01,5.36973656e-02,3.68765238e-02,7.97571169e-02,5.42325107e-02
0.6300,3.73442541e-02,3.72040915e-01,3.72040915e-01,7.78133884e-02,7.75213348e-01,7.75213348e-01,3.34760339e-02,3.33503897e-01,3.33503897e-01,5.39062422e-02,3.77224884e-02,7.86015069e-02,5.44522216e-02
0.6400,3.94290248e-02,4.05444698e-01,4.05444698e-01,7.68997771e-02,7.90752677e-01,7.90752677e-01,3.22711714e-02,3.31841211e-01,3.31841211e-01,5.50643553e-02,3.98347785e-02,7.76911325e-02,5.56310080e-02
0.6500,4.11131951e-02,4.36147534e-01,4.36147534e-01,7.64558031e-02,8.11078046e-01,8.11078046e-01,2.99412453e-02,3.17630393e-01,3.17630393e-01,5.60655183e-02,4.15429600e-02,7.72550117e-02,5.66515830e-02
0.6600,4.25881471e-02,4.65877723e-01,4.65877723e-01,7.58608863e-02,8.29852890e-01,8.29852890e-01,2.77797327e-02,3.03886398e-01,3.03886398e-01,5.68399031e-02,4.30402517e-02,7.66662055e-02,5.74433006e-02
0.6700,4.32269663e-02,4.87382071e-01,4.87382071e-01,7.44617141e-02,8.39552427e-01,8.39552427e-01,2.57574180e-02,2.90413712e-01,2.90413712e-01,5.67340639e-02,4.36928801e-02,7.52642859e-02,5.73455615e-02
0.6800,4.36483836e-02,5.07015280e-01,5.07015280e-01,7.20121168e-02,8.36485582e-01,8.36485582e-01,2.68330303e-02,3.11689810e-01,3.11689810e-01,5.60643603e-02,4.41259381e-02,7.27999974e-02,5.66777574e-02
0.6900,4.35168654e-02,5.20547932e-01,5.20547932e-01,6.90065361e-02,8.25454898e-01,8.25454898e-01,2.66466945e-02,3.18747263e-01,3.18747263e-01,5.47991619e-02,4.40000605e-02,6.97727590e-02,5.54076314e-02
0.7000,4.22210585e-02,5.19876312e-01,5.19876312e-01,6.58819433e-02,8.11217504e-01,8.11217504e-01,2.55464567e-02,3.14558615e-01,3.14558615e-01,5.27409270e-02,4.26967363e-02,6.66241931e-02,5.33351254e-02
0.7100,4.07122977e-02,5.15806781e-01,5.15806781e-01,6.29207910e-02,7.97178557e-01,7.97178557e-01,2.40086987e-02,3.04179580e-01,3.04179580e-01,5.06127452e-02,4.11776046e-02,6.36399222e-02,5.11912058e-02
0.7200,3.99352186e-02,5.20398111e-01,5.20398111e-01,6.04271276e-02,7.87429345e-01,7.87429345e-01,2.22887646e-02,2.90446163e-01,2.90446163e-01,4.91240323e-02,4.03981473e-02,6.11275982e-02,4.96934776e-02
0.7300,4.02726913e-02,5.39561500e-01,5.39561500e-01,5.87368135e-02,7.86938299e-01,7.86938299e-01,2.18338068e-02,2.92522827e-01,2.92522827e-01,4.86362988e-02,4.07460921e-02,5.94272579e-02,4.92080128e-02
