T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.3100,4.11655805e-01,9.87904421e-01,9.87904421e-01,7.83708739e-01,1.88076864e+00,1.88076864e+00,1.72800052e-01,4.14690946e-01,4.14690946e-01,5.67994940e-01,4.13696904e-01,7.87594575e-01,5.70811210e-01
0.3200,4.62848317e-01,1.18376477e+00,1.18376477e+00,8.10705883e-01,2.07343319e+00,2.07343319e+00,1.79339658e-01,4.58672877e-01,4.58672877e-01,6.12563347e-01,4.65217651e-01,8.14855910e-01,6.15699076e-01
0.3300,4.31252824e-01,1.17315684e+00,1.17315684e+00,6.78466968e-01,1.84566482e+00,1.84566482e+00,1.62030561e-01,4.40779169e-01,4.40779169e-01,5.40916626e-01,4.33529771e-01,6.82049167e-01,5.43772581e-01
0.3400,3.87281470e-01,1.11853683e+00,1.11853683e+00,5.36846308e-01,1.55050632e+00,1.55050632e+00,1.61144138e-01,4.65412542e-01,4.65412542e-01,4.55972178e-01,3.89388556e-01,5.39767133e-01,4.58452990e-01
0.3500,4.08572977e-01,1.25066491e+00,1.25066491e+00,4.28416860e-01,1.31140816e+00,1.31140816e+00,1.53208824e-01,4.68980846e-01,4.68980846e-01,4.18377284e-01,4.10861650e-01,4.30816692e-01,4.20720877e-01
0.3600,4.27270292e-01,1.38392467e+00,1.38392467e+00,3.71847739e-01,1.20441151e+00,1.20441151e+00,1.40180936e-01,4.54044802e-01,4.54044802e-01,3.98596904e-01,4.29732478e-01,3.73990547e-01,4.00893857e-01
0.3700,4.79061095e-01,1.63933845e+00,1.63933845e+00,3.66432866e-01,1.25392668e+00,1.25392668e+00,1.22406123e-01,4.18871552e-01,4.18871552e-01,4.18979391e-01,4.81898868e-01,3.68603474e-01,4.21461264e-01
0.3800,4.78674159e-01,1.72802884e+00,1.72802884e+00,4.20404871e-01,1.51767487e+00,1.51767487e+00,1.10651817e-01,3.99456555e-01,3.99456555e-01,4.48594414e-01,4.81586741e-01,4.22962903e-01,4.51323970e-01
0.3900,4.36031089e-01,1.65828826e+00,1.65828826e+00,4.63439294e-01,1.76252556e+00,1.76252556e+00,1.05608412e-01,4.01643812e-01,4.01643812e-01,4.49526351e-01,4.38754456e-01,4.66333848e-01,4.52334007e-01
0.4000,4.58973343e-01,1.83649757e+00,1.83649757e+00,4.98294967e-01,1.99383583e+00,1.99383583e+00,1.08843576e-01,4.35517589e-01,4.35517589e-01,4.78230182e-01,4.61913979e-01,5.01487536e-01,4.81294196e-01
0.4100,5.13281706e-01,2.15812194e+00,2.15812194e+00,5.74409206e-01,2.41513597e+00,2.41513597e+00,1.07679967e-01,4.52746508e-01,4.52746508e-01,5.42985945e-01,5.16653049e-01,5.78182047e-01,5.46552392e-01
0.4200,5.60717040e-01,2.47436861e+00,2.47436861e+00,6.24695998e-01,2.75669911e+00,2.75669911e+00,1.11260479e-01,4.90977477e-01,4.90977477e-01,5.91842624e-01,5.64490381e-01,6.28899884e-01,5.95825423e-01
0.4300,5.96340315e-01,2.75881599e+00,2.75881599e+00,6.26152379e-01,2.89673388e+00,2.89673388e+00,1.14902472e-01,5.31566907e-01,5.31566907e-01,6.11064569e-01,6.00449590e-01,6.30467083e-01,6.15275305e-01
