time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
0.315000,3.27190709e-06,-6.16985166e-07,-2.01295466e-07,3.33527736e-09,-6.28934930e-10,-2.05194155e-10
0.320000,3.27189886e-06,-6.17207720e-07,-2.02059802e-07,3.33526897e-09,-6.29161794e-10,-2.05973294e-10
0.325000,3.27188872e-06,-6.17433540e-07,-2.02841272e-07,3.33525863e-09,-6.29391988e-10,-2.06769900e-10
0.330000,3.27187424e-06,-6.17662291e-07,-2.03639363e-07,3.33524387e-09,-6.29625169e-10,-2.07583449e-10
0.335000,3.27185442e-06,-6.17894883e-07,-2.04453396e-07,3.33522367e-09,-6.29862266e-10,-2.08413247e-10
0.340000,3.27183076e-06,-6.18133400e-07,-2.05283283e-07,3.33519955e-09,-6.30105403e-10,-2.09259208e-10
0.345000,3.27180671e-06,-6.18379866e-07,-2.06129806e-07,3.33517503e-09,-6.30356642e-10,-2.10122127e-10
0.350000,3.27178564e-06,-6.18634639e-07,-2.06993740e-07,3.33515356e-09,-6.30616349e-10,-2.11002793e-10
0.355000,3.27176872e-06,-6.18895820e-07,-2.07874556e-07,3.33513631e-09,-6.30882589e-10,-2.11900669e-10
0.360000,3.27175419e-06,-6.19160325e-07,-2.08770157e-07,3.33512150e-09,-6.31152217e-10,-2.12813616e-10
0.365000,3.27173873e-06,-6.19425839e-07,-2.09678312e-07,3.33510574e-09,-6.31422874e-10,-2.13739360e-10
0.370000,3.27171981e-06,-6.19692439e-07,-2.10599108e-07,3.33508645e-09,-6.31694637e-10,-2.14677989e-10
0.375000,3.27169744e-06,-6.19963146e-07,-2.11536715e-07,3.33506365e-09,-6.31970588e-10,-2.15633757e-10
0.380000,3.27167371e-06,-6.20242881e-07,-2.12498525e-07,3.33503946e-09,-6.32255740e-10,-2.16614194e-10
0.385000,3.27165042e-06,-6.20535482e-07,-2.13491021e-07,3.33501572e-09,-6.32554008e-10,-2.17625913e-10
0.390000,3.27162704e-06,-6.20839996e-07,-2.14514845e-07,3.33499188e-09,-6.32864420e-10,-2.18669567e-10
0.395000,3.27160119e-06,-6.21149137e-07,-2.15563180e-07,3.33496553e-09,-6.33179548e-10,-2.19738206e-10
0.400000,3.27157135e-06,-6.21452211e-07,-2.16625158e-07,3.33493511e-09,-6.33488492e-10,-2.20820753e-10
0.405000,3.27153903e-06,-6.21741825e-07,-2.17691724e-07,3.33490217e-09,-6.33783715e-10,-2.21907975e-10
