time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
4.35000000e-01,1.28923964e-06,4.85952080e-06,6.82031753e-06,1.31420963e-09,4.95363996e-09,6.95241338e-09
4.40000000e-01,1.34985757e-06,4.85999838e-06,6.79375692e-06,1.37600160e-09,4.95412679e-09,6.92533835e-09
4.45000000e-01,1.41149526e-06,4.86041956e-06,6.76694438e-06,1.43883309e-09,4.95455613e-09,6.89800650e-09
4.50000000e-01,1.47427287e-06,4.86077793e-06,6.73989490e-06,1.50282658e-09,4.95492144e-09,6.87043313e-09
4.55000000e-01,1.53821798e-06,4.86108209e-06,6.71256174e-06,1.56801017e-09,4.95523149e-09,6.84257058e-09
4.60000000e-01,1.60324644e-06,4.86135533e-06,6.68488373e-06,1.63429810e-09,4.95551002e-09,6.81435650e-09
4.65000000e-01,1.66919303e-06,4.86163851e-06,6.65684134e-06,1.70152195e-09,4.95579868e-09,6.78577099e-09
4.70000000e-01,1.73587425e-06,4.86198381e-06,6.62848165e-06,1.76949464e-09,4.95615067e-09,6.75686202e-09
4.75000000e-01,1.80314992e-06,4.86243592e-06,6.59989333e-06,1.83807332e-09,4.95661154e-09,6.72772001e-09
4.80000000e-01,1.87095840e-06,4.86301075e-06,6.57114592e-06,1.90719511e-09,4.95719750e-09,6.69841582e-09
4.85000000e-01,1.93932198e-06,4.86368493e-06,6.54222946e-06,1.97688275e-09,4.95788474e-09,6.66893931e-09
4.90000000e-01,2.00833608e-06,4.86440569e-06,6.51303287e-06,2.04723352e-09,4.95861946e-09,6.63917723e-09
4.95000000e-01,2.07815165e-06,4.86511774e-06,6.48338093e-06,2.11840127e-09,4.95934530e-09,6.60895100e-09
5.00000000e-01,2.14894565e-06,4.86578888e-06,6.45311787e-06,2.19056641e-09,4.96002944e-09,6.57810181e-09
5.05000000e-01,2.22087496e-06,4.86641713e-06,6.42219447e-06,2.26388885e-09,4.96066986e-09,6.54657948e-09
5.10000000e-01,2.29402603e-06,4.86701550e-06,6.39070781e-06,2.33845671e-09,4.96127982e-09,6.51448299e-09
5.15000000e-01,2.36838726e-06,4.86758461e-06,6.35886463e-06,2.41425816e-09,4.96185995e-09,6.48202306e-09
5.20000000e-01,2.44386307e-06,4.86809606e-06,6.32688016e-06,2.49119579e-09,4.96238130e-09,6.44941912e-09
5.25000000e-01,2.52032013e-06,4.86850677e-06,6.29486372e-06,2.56913367e-09,4.96279997e-09,6.41678259e-09
5.30000000e-01,2.59763303e-06,4.86879878e-06,6.26275733e-06,2.64794397e-09,4.96309763e-09,6.38405436e-09
5.35000000e-01,2.67570475e-06,4.86901033e-06,6.23036842e-06,2.72752778e-09,4.96331328e-09,6.35103814e-09
5.40000000e-01,2.75446732e-06,4.86922716e-06,6.19748249e-06,2.80781582e-09,4.96353431e-09,6.31751528e-09
5.45000000e-01,2.83388534e-06,4.86953561e-06,6.16399238e-06,2.88877201e-09,4.96384874e-09,6.28337654e-09
5.50000000e-01,2.91397023e-06,4.86996796e-06,6.12996521e-06,2.97040798e-09,4.96428946e-09,6.24869032e-09
5.55000000e-01,2.99479292e-06,4.87047864e-06,6.09559433e-06,3.05279605e-09,4.96481003e-09,6.21365375e-09
5.60000000e-01,3.07648119e-06,4.87097577e-06,6.06104703e-06,3.13606645e-09,4.96531679e-09,6.17843734e-09
5.65000000e-01,3.15919267e-06,4.87138928e-06,6.02629721e-06,3.22037989e-09,4.96573830e-09,6.14301449e-09
5.70000000e-01,3.24306242e-06,4.87172487e-06,5.99107078e-06,3.30587402e-09,4.96608040e-09,6.10710579e-09
5.75000000e-01,3.32814444e-06,4.87207081e-06,5.95497232e-06,3.39260392e-09,4.96643304e-09,6.07030817e-09
5.80000000e-01,3.41437985e-06,4.87255387e-06,5.91773372e-06,3.48050953e-09,4.96692546e-09,6.03234834e-09
5.85000000e-01,3.50160484e-06,4.87325516e-06,5.87943070e-06,3.56942390e-09,4.96764033e-09,5.99330346e-09
5.90000000e-01,3.58958484e-06,4.87412441e-06,5.84052285e-06,3.65910789e-09,4.96852641e-09,5.95364205e-09
5.95000000e-01,3.67805435e-06,4.87495954e-06,5.80167291e-06,3.74929087e-09,4.96937772e-09,5.91403966e-09
6.00000000e-01,3.76675491e-06,4.87549899e-06,5.76342342e-06,3.83970939e-09,4.96992761e-09,5.87504935e-09
6.05000000e-01,3.85548583e-06,4.87559787e-06,5.72589033e-06,3.93015885e-09,4.97002841e-09,5.83678933e-09
6.10000000e-01,3.94418606e-06,4.87537078e-06,5.68864083e-06,4.02057702e-09,4.96979692e-09,5.79881837e-09
6.15000000e-01,4.03302088e-06,4.87517520e-06,5.65085822e-06,4.11113239e-09,4.96959755e-09,5.76030400e-09
6.20000000e-01,4.12238861e-06,4.87541935e-06,5.61176334e-06,4.20223100e-09,4.96984643e-09,5.72045192e-09
6.25000000e-01,4.21278318e-06,4.87631834e-06,5.57109356e-06,4.29437633e-09,4.97076284e-09,5.67899446e-09
6.30000000e-01,4.30456823e-06,4.87777440e-06,5.52934439e-06,4.38793907e-09,4.97224709e-09,5.63643669e-09
6.35000000e-01,4.39782104e-06,4.87946391e-06,5.48756726e-06,4.48299800e-09,4.97396933e-09,5.59385041e-09
6.40000000e-01,4.49236489e-06,4.88103779e-06,5.44678650e-06,4.57937298e-09,4.97557369e-09,5.55227982e-09
6.45000000e-01,4.58795947e-06,4.88226570e-06,5.40737477e-06,4.67681903e-09,4.97682538e-09,5.51210476e-09
6.50000000e-01,4.68449971e-06,4.88305298e-06,5.36878801e-06,4.77522907e-09,4.97762791e-09,5.47277065e-09
6.55000000e-01,4.78207800e-06,4.88338863e-06,5.32983388e-06,4.87469725e-09,4.97797006e-09,5.43306206e-09
6.60000000e-01,4.88087574e-06,4.88332248e-06,5.28929430e-06,4.97540850e-09,4.97790263e-09,5.39173731e-09
