time_s,acc_EW_cm_s2,acc_VER_cm_s2,acc_NS_cm_s2,acc_EW_g,acc_VER_g,acc_NS_g
3.20000000e-01,2.73888422e-06,-1.10602059e-06,-1.68928208e-06,2.79193091e-09,-1.12744199e-09,-1.72200008e-09
3.25000000e-01,2.73978562e-06,-1.10596303e-06,-1.68656100e-06,2.79284977e-09,-1.12738331e-09,-1.71922630e-09
3.30000000e-01,2.74070275e-06,-1.10608585e-06,-1.68373938e-06,2.79378466e-09,-1.12750851e-09,-1.71635003e-09
3.35000000e-01,2.74163908e-06,-1.10644859e-06,-1.68077480e-06,2.79473912e-09,-1.12787827e-09,-1.71332803e-09
3.40000000e-01,2.74259526e-06,-1.10704980e-06,-1.67764185e-06,2.79571382e-09,-1.12849113e-09,-1.71013440e-09
3.45000000e-01,2.74356931e-06,-1.10781473e-06,-1.67434492e-06,2.79670674e-09,-1.12927088e-09,-1.70677361e-09
3.50000000e-01,2.74455904e-06,-1.10860275e-06,-1.67092096e-06,2.79771564e-09,-1.13007416e-09,-1.70328334e-09
3.55000000e-01,2.74556519e-06,-1.10923854e-06,-1.66742947e-06,2.79874128e-09,-1.13072226e-09,-1.69972423e-09
3.60000000e-01,2.74659260e-06,-1.10956574e-06,-1.66393298e-06,2.79978859e-09,-1.13105580e-09,-1.69616002e-09
3.65000000e-01,2.74764803e-06,-1.10951201e-06,-1.66047631e-06,2.80086445e-09,-1.13100103e-09,-1.69263640e-09
3.70000000e-01,2.74873580e-06,-1.10914043e-06,-1.65707406e-06,2.80197329e-09,-1.13062225e-09,-1.68916826e-09
3.75000000e-01,2.74985368e-06,-1.10865526e-06,-1.65370997e-06,2.80311282e-09,-1.13012769e-09,-1.68573901e-09
3.80000000e-01,2.75099219e-06,-1.10834056e-06,-1.65034484e-06,2.80427339e-09,-1.12980689e-09,-1.68230870e-09
3.85000000e-01,2.75213964e-06,-1.10844165e-06,-1.64692714e-06,2.80544306e-09,-1.12990994e-09,-1.67882481e-09
3.90000000e-01,2.75329012e-06,-1.10903704e-06,-1.64340494e-06,2.80661582e-09,-1.13051686e-09,-1.67523439e-09
3.95000000e-01,2.75444854e-06,-1.10996807e-06,-1.63974097e-06,2.80779668e-09,-1.13146593e-09,-1.67149946e-09
4.00000000e-01,2.75562841e-06,-1.11087712e-06,-1.63592998e-06,2.80899940e-09,-1.13239257e-09,-1.66761466e-09
4.05000000e-01,2.75684228e-06,-1.11135425e-06,-1.63200965e-06,2.81023678e-09,-1.13287895e-09,-1.66361840e-09
4.10000000e-01,2.75808985e-06,-1.11113305e-06,-1.62805336e-06,2.81150851e-09,-1.13265347e-09,-1.65958548e-09
4.15000000e-01,2.75935028e-06,-1.11024051e-06,-1.62414014e-06,2.81279335e-09,-1.13174364e-09,-1.65559648e-09
4.20000000e-01,2.76058333e-06,-1.10901875e-06,-1.62031305e-06,2.81405029e-09,-1.13049822e-09,-1.65169526e-09
4.25000000e-01,2.76173979e-06,-1.10799547e-06,-1.61654977e-06,2.81522914e-09,-1.12945512e-09,-1.64785910e-09
4.30000000e-01,2.76277964e-06,-1.10765694e-06,-1.61276629e-06,2.81628914e-09,-1.12911003e-09,-1.64400233e-09
