SERVICIO GEOLOGICO COLOMBIANO- RED NACIONAL DE ACELEROGRAFOS DE COLOMBIA
San Jose del Palmar - Choco, Colombia  2026-08-10 12:34:27  M=7.4
LATITUD DEL EVENTO(GRADOS): 4.99
LONGITUD DEL EVENTO(GRADOS): -76.29
PROFUNDIDAD DEL EVENTO (Km): 103.0
CODIGO DE LA ESTACION: CBOCA
ESTACION:CBOCA 
LATITUD DE LA ESTACION (GRADOS): 4.7817
LONGITUD DE LA ESTACION (GRADOS): -75.6455
DISTANCIA EPICENTRAL: 75.0 km
DISTANCIA HIPOCENTRAL: 128.0 km
INTERVALO DE MUESTREO (SEGUNDOS):0.005
NUMERO DE DATOS: 102001
DURACION (SEGUNDOS): 510.0
UNIDADES: cm/s^2
TIPO DE EQUIPO: --
ESCALA MAXIMA (G): 2
CORRECCION DE LINEA BASE: LINEA BASE REMOVIDA
TIPO DE DATOS: NO CORREGIDO
         EW                  VER                  NS
    0.0013787357001195126           0.0014032324201884332         0.0019586434013869674 
    -0.0011282081978431651           -0.0016533531501461158         -0.00240839080722931 
    0.0012454951230805814           0.001796254877886317         0.0020773554924206137 
    -0.0004763033586924091           -0.0019593004898888267         -0.002097324830731867 
    0.0005499418170036619           0.002044610871932164         0.0015974623904220727 
    -0.00016470239038229607           -0.002300723478911149         -0.0018763525616237752 
    8.23240858876496e-05           0.002156355291217995         0.0016635248205582362 
    0.0005665883369739014           -0.0024667204258552334         -0.0018305593089920152 
    -0.0004666635106848158           0.0021838791375195774         0.0010349775136587818 
    0.0008790617456509086           -0.0023129720285493443         -0.0015480709105851352 
    -0.0009710170797685316           0.0021311670955000985         0.0012660764252076376 
    0.0013917050040129944           -0.002210951311568442         -0.0013149198761765143 
    -0.0015493506184848342           0.0019268569863967815         0.0008197436167422175 
    0.002081546460674132           -0.0017523841031821194         -0.001289878864141774 
    -0.00207515118857836           0.0014970344951545957         0.0009071526693003155 
    0.0027294310565159166           -0.0014090280465190767         -0.0013149480143092396 
    -0.002463857754049307           0.0009894457482567246         0.0007414279321918227 
    0.0031096755562880912           -0.0011413934529482305         -0.0009754383063412305 
    -0.0032026015656441546           0.0007931493601726631         0.0007928272728764911 
    0.0033735230468622886           -0.0007332418306002724         -0.0007360300492229597 
    -0.002861193220810679           0.00022747842180270356         0.0004454025351511845 
